"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.32,0,0,0,0
"2",2,0.336,0,0,0,0
"3",3,0.356,0,0,0,0
"4",4,0.334,0,0,0,0
"5",5,0.32,0,0,0,0
"6",6,0.372,0,0,0,0
"7",7,0.36,0,0,0,0
"8",8,0.35,0,0,0,0
"9",9,0.388,0,0,0,0
"10",10,0.37,0,0,0,0
"11",11,0.36,0,0,0,0
"12",12,0.418,0,0,0,0
"13",13,0.348,0,0,0,0
"14",14,0.354,0,0,0,0
"15",15,0.376,0,0,0,0
"16",16,0.344,0,0,0,0
"17",17,0.338,0,0,0,0
"18",18,0.422,0,0,0,0
"19",19,0.258,0,0,0,0
"20",20,0.348,0,0,0,0
"21",21,0.32,0,0,0,0
"22",22,0.378,0,0,0,0
"23",23,0.384,0,0,0,0
"24",24,0.344,0,0,0,0
"25",25,0.362,0,0,0,0
"26",26,0.358,0,0,0,0
"27",27,0.322,0,0,0,0
"28",28,0.334,0,0,0,0
"29",29,0.366,0,0,0,0
"30",30,0.332,0,0,0,0
"31",31,0.382,0,0,0,0
"32",32,0.35,0,0,0,0
"33",33,0.376,0,0,0,0
"34",34,0.368,0,0,0,0
"35",35,0.35,0,0,0,0
"36",36,0.388,0,0,0,0
"37",37,0.352,0,0,0,0
"38",38,0.358,0,0,0,0
"39",39,0.3,0,0,0,0
"40",40,0.314,0,0,0,0
"41",41,0.372,0,0,0,0
"42",42,0.364,0,0,0,0
"43",43,0.336,0,0,0,0
"44",44,0.356,0,0,0,0
"45",45,0.284,0,0,0,0
"46",46,0.392,0,0,0,0
"47",47,0.39,0,0,0,0
"48",48,0.324,0,0,0,0
"49",49,0.32,0,0,0,0
"50",50,0.37,0,0,0,0
