"","Round..Power.","X1D_MLE","X1D_NPMLE","X2D_NPMLE","X1D_Proj","Welch"
"1",1,0.428,0,0,0,0
"2",2,0.42,0,0,0,0
"3",3,0.446,0,0,0,0
"4",4,0.428,0,0,0,0
"5",5,0.466,0,0,0,0
"6",6,0.454,0,0,0,0
"7",7,0.452,0,0,0,0
"8",8,0.452,0,0,0,0
"9",9,0.456,0,0,0,0
"10",10,0.442,0,0,0,0
"11",11,0.452,0,0,0,0
"12",12,0.404,0,0,0,0
"13",13,0.406,0,0,0,0
"14",14,0.488,0,0,0,0
"15",15,0.416,0,0,0,0
"16",16,0.456,0,0,0,0
"17",17,0.43,0,0,0,0
"18",18,0.448,0,0,0,0
"19",19,0.44,0,0,0,0
"20",20,0.438,0,0,0,0
"21",21,0.42,0,0,0,0
"22",22,0.444,0,0,0,0
"23",23,0.468,0,0,0,0
"24",24,0.43,0,0,0,0
"25",25,0.466,0,0,0,0
"26",26,0.436,0,0,0,0
"27",27,0.428,0,0,0,0
"28",28,0.46,0,0,0,0
"29",29,0.492,0,0,0,0
"30",30,0.472,0,0,0,0
"31",31,0.46,0,0,0,0
"32",32,0.424,0,0,0,0
"33",33,0.44,0,0,0,0
"34",34,0.392,0,0,0,0
"35",35,0.462,0,0,0,0
"36",36,0.446,0,0,0,0
"37",37,0.444,0,0,0,0
"38",38,0.436,0,0,0,0
"39",39,0.442,0,0,0,0
"40",40,0.442,0,0,0,0
"41",41,0.446,0,0,0,0
"42",42,0.462,0,0,0,0
"43",43,0.438,0,0,0,0
"44",44,0.43,0,0,0,0
"45",45,0.382,0,0,0,0
"46",46,0.398,0,0,0,0
"47",47,0.44,0,0,0,0
"48",48,0.388,0,0,0,0
"49",49,0.45,0,0,0,0
"50",50,0.408,0,0,0,0
